date,puppet,community
2021-04-13,6,0
2021-04-14,1,1
2021-04-15,1,3
2021-04-16,0,2
2021-04-17,0,25
2021-04-18,0,0
2021-04-19,7,0
2021-04-20,3,2
2021-04-21,1,0
2021-04-22,5,0
2021-04-23,0,0
2021-04-24,0,24
2021-04-25,0,0
2021-04-26,50,2
2021-04-27,0,0
2021-04-28,2,2
2021-04-29,1,4
2021-04-30,1,0
2021-05-01,0,20
2021-05-02,0,0
2021-05-03,0,0
