week ending on,closed,commented,merged
2020-06-17,0,0,0
2020-06-24,0,0,0
2020-07-01,0,0,0
2020-07-08,0,0,0
2020-07-15,0,0,0
2020-07-22,0,0,0
2020-07-29,0,0,0
2020-08-05,0,0,0
2020-08-12,0,0,0
2020-08-19,0,0,0
